Lon_euro,Lon_efp,Lat_efp
15.1000,18.5155,-64.6982
15.2000,18.5823,-64.6808
15.3000,18.649,-64.6635
15.4000,18.7158,-64.6462
15.5000,18.7826,-64.6291
15.6000,18.8495,-64.6120
15.7000,18.9164,-64.5949
15.8000,18.9833,-64.5780
15.9000,19.0502,-64.5611
16.0000,19.1172,-64.5443
16.1000,19.1842,-64.5276
16.2000,19.2512,-64.5110
16.3000,19.3183,-64.4944
16.4000,19.3853,-64.4779
16.5000,19.4524,-64.4615
16.6000,19.5196,-64.4452
16.7000,19.5867,-64.4289
16.8000,19.6539,-64.4127
16.9000,19.7211,-64.3966
17.0000,19.7883,-64.3805
17.1000,19.8556,-64.3645
17.2000,19.9228,-64.3487
17.3000,19.9901,-64.3328
17.4000,20.0574,-64.3171
17.5000,20.1248,-64.3014
17.6000,20.1921,-64.2858
17.7000,20.2595,-64.2703
17.8000,20.3269,-64.2548
17.9000,20.3944,-64.2394
18.0000,20.4618,-64.2241
18.1000,20.5293,-64.2089
18.2000,20.5968,-64.1937
18.3000,20.6643,-64.1786
18.4000,20.7318,-64.1636
18.5000,20.7994,-64.1486
18.6000,20.8669,-64.1338
18.7000,20.9345,-64.1190
18.8000,21.0021,-64.1042
18.9000,21.0698,-64.0896
19.0000,21.1374,-64.0750
19.1000,21.2051,-64.0604
19.2000,21.2728,-64.0460
19.3000,21.3405,-64.0316
19.4000,21.4082,-64.0173
19.5000,21.4759,-64.0030
19.6000,21.5437,-63.9889
19.7000,21.6114,-63.9748
19.8000,21.6792,-63.9607
19.9000,21.747,-63.9468
20.0000,21.8148,-63.9329
20.1000,21.8827,-63.9191
20.2000,21.9505,-63.9053
20.3000,22.0184,-63.8916
20.4000,22.0863,-63.8780
20.5000,22.1541,-63.8645
20.6000,22.222,-63.8510
20.7000,22.29,-63.8376
20.8000,22.3579,-63.8243
20.9000,22.4258,-63.8110
21.0000,22.4938,-63.7978
21.1000,22.5618,-63.7847
21.2000,22.6298,-63.7716
21.3000,22.6978,-63.7586
21.4000,22.7658,-63.7457
21.5000,22.8338,-63.7328
21.6000,22.9018,-63.7200
21.7000,22.9699,-63.7072
21.8000,23.0379,-63.6946
21.9000,23.106,-63.6820
22.0000,23.1741,-63.6695
22.1000,23.2422,-63.6570
22.2000,23.3103,-63.6446
22.3000,23.3784,-63.6322
22.4000,23.4465,-63.6200
22.5000,23.5147,-63.6078
22.6000,23.5828,-63.5956
22.7000,23.6509,-63.5836
22.8000,23.7191,-63.5716
22.9000,23.7873,-63.5596
23.0000,23.8555,-63.5477
23.1000,23.9236,-63.5359
23.2000,23.9918,-63.5242
23.3000,24.06,-63.5125
23.4000,24.1283,-63.5009
23.5000,24.1965,-63.4893
23.6000,24.2647,-63.4778
23.7000,24.3329,-63.4664
23.8000,24.4012,-63.4550
23.9000,24.4694,-63.4437
24.0000,24.5377,-63.4325
24.1000,24.606,-63.4213
24.2000,24.6742,-63.4102
24.3000,24.7425,-63.3991
24.4000,24.8108,-63.3881
24.5000,24.8791,-63.3772
24.6000,24.9474,-63.3663
24.7000,25.0157,-63.3555
24.8000,25.084,-63.3448
24.9000,25.1523,-63.3341
25.0000,25.2206,-63.3234
25.1000,25.2889,-63.3129
25.2000,25.3573,-63.3024
25.3000,25.4256,-63.2920
25.4000,25.4939,-63.2816
25.5000,25.5623,-63.2713
25.6000,25.6306,-63.2610
25.7000,25.699,-63.2508
25.8000,25.7673,-63.2406
25.9000,25.8357,-63.2306
26.0000,25.9041,-63.2205
26.1000,25.9724,-63.2106
26.2000,26.0408,-63.2007
26.3000,26.1092,-63.1908
26.4000,26.1775,-63.1810
26.5000,26.2459,-63.1713
26.6000,26.3143,-63.1617
26.7000,26.3827,-63.1520
26.8000,26.4511,-63.1425
26.9000,26.5195,-63.1330
27.0000,26.5878,-63.1236
27.1000,26.6562,-63.1142
27.2000,26.7246,-63.1049
27.3000,26.793,-63.0956
27.4000,26.8614,-63.0864
27.5000,26.9298,-63.0772
27.6000,26.9982,-63.0681
27.7000,27.0666,-63.0591
27.8000,27.135,-63.0501
27.9000,27.2034,-63.0412
28.0000,27.2718,-63.0323
28.1000,27.3402,-63.0235
28.2000,27.4086,-63.0147
28.3000,27.477,-63.0060
28.4000,27.5454,-62.9974
28.5000,27.6138,-62.9888
28.6000,27.6823,-62.9803
28.7000,27.7507,-62.9718
28.8000,27.8191,-62.9633
28.9000,27.8875,-62.9550
29.0000,27.9559,-62.9466
29.1000,28.0243,-62.9384
29.2000,28.0927,-62.9302
29.3000,28.1611,-62.9220
29.4000,28.2295,-62.9139
29.5000,28.2979,-62.9058
29.6000,28.3663,-62.8978
29.7000,28.4347,-62.8899
29.8000,28.5031,-62.8820
29.9000,28.5715,-62.8741
30.0000,28.6399,-62.8663
30.1000,28.7083,-62.8586
30.2000,28.7767,-62.8509
30.3000,28.845,-62.8433
30.4000,28.9134,-62.8357
30.5000,28.9818,-62.8282
30.6000,29.0502,-62.8207
30.7000,29.1186,-62.8132
30.8000,29.187,-62.8059
30.9000,29.2553,-62.7985
31.0000,29.3237,-62.7913
31.1000,29.3921,-62.7840
31.2000,29.4604,-62.7768
31.3000,29.5288,-62.7697
31.4000,29.5972,-62.7626
31.5000,29.6655,-62.7556
31.6000,29.7339,-62.7486
31.7000,29.8022,-62.7417
31.8000,29.8706,-62.7348
31.9000,29.9389,-62.7280
32.0000,30.0073,-62.7212
32.1000,30.0756,-62.7145
32.2000,30.1439,-62.7078
32.3000,30.2123,-62.7011
32.4000,30.2806,-62.6945
32.5000,30.3489,-62.6880
32.6000,30.4172,-62.6815
32.7000,30.4856,-62.6751
32.8000,30.5539,-62.6687
32.9000,30.6222,-62.6623
33.0000,30.6905,-62.6560
