Lon_io_S,Lon_ifp_S,Lat_ifp_S,Lon_io_N,Lon_ifp_N,Lat_ifp_N
0,5.71658,-61.5288,0,-33.2696,74.0549
0.1,5.8046,-61.5238,0.1,-33.1029,74.0798
0.2,5.89258,-61.5188,0.2,-32.9358,74.1048
0.3,5.98056,-61.5137,0.3,-32.7683,74.1298
0.4,6.06851,-61.5087,0.4,-32.6004,74.1549
0.5,6.15646,-61.5037,0.5,-32.4321,74.1802
0.6,6.24438,-61.4987,0.6,-32.2634,74.2055
0.7,6.33228,-61.4937,0.7,-32.0942,74.2308
0.8,6.42017,-61.4887,0.8,-31.9247,74.2563
0.9,6.50806,-61.4838,0.9,-31.7547,74.2818
1,6.59589,-61.4788,1,-31.5843,74.3074
1.1,6.68375,-61.4738,1.1,-31.4135,74.3331
1.2,6.77158,-61.4689,1.2,-31.2422,74.3589
1.3,6.85938,-61.4639,1.3,-31.0706,74.3847
1.4,6.94717,-61.459,1.4,-30.8985,74.4106
1.5,7.03494,-61.4541,1.5,-30.726,74.4366
1.6,7.12271,-61.4492,1.6,-30.553,74.4627
1.7,7.21045,-61.4443,1.7,-30.3796,74.4889
1.8,7.29819,-61.4394,1.8,-30.2058,74.5151
1.9,7.38589,-61.4345,1.9,-30.0315,74.5414
2,7.4736,-61.4296,2,-29.8568,74.5678
2.1,7.56128,-61.4248,2.1,-29.6816,74.5942
2.2,7.64896,-61.4199,2.2,-29.506,74.6207
2.3,7.7366,-61.415,2.3,-29.3299,74.6473
2.4,7.82425,-61.4102,2.4,-29.1534,74.674
2.5,7.91187,-61.4054,2.5,-28.9764,74.7008
2.6,7.99948,-61.4005,2.6,-28.799,74.7276
2.7,8.0871,-61.3957,2.7,-28.6211,74.7545
2.8,8.17468,-61.3909,2.8,-28.4427,74.7814
2.9,8.26221,-61.3861,2.9,-28.2639,74.8085
3,8.34979,-61.3813,3,-28.0846,74.8356
3.1,8.43732,-61.3765,3.1,-27.9048,74.8628
3.2,8.52484,-61.3717,3.2,-27.7246,74.89
3.3,8.61237,-61.3669,3.3,-27.5438,74.9174
3.4,8.69986,-61.3621,3.4,-27.3626,74.9447
3.5,8.78735,-61.3573,3.5,-27.1809,74.9722
3.6,8.87482,-61.3526,3.6,-26.9987,74.9997
3.7,8.96228,-61.3478,3.7,-26.8161,75.0273
3.8,9.04971,-61.343,3.8,-26.6329,75.055
3.9,9.13715,-61.3383,3.9,-26.4492,75.0827
4,9.22455,-61.3336,4,-26.2651,75.1105
4.1,9.31198,-61.3288,4.1,-26.0804,75.1384
4.2,9.39935,-61.3241,4.2,-25.8952,75.1663
4.3,9.48676,-61.3194,4.3,-25.7095,75.1943
4.4,9.5741,-61.3146,4.4,-25.5233,75.2224
4.5,9.66147,-61.3099,4.5,-25.3366,75.2505
4.6,9.74884,-61.3052,4.6,-25.1493,75.2787
4.7,9.83615,-61.3005,4.7,-24.9615,75.3069
4.8,9.92346,-61.2958,4.8,-24.7732,75.3352
4.9,10.0108,-61.2911,4.9,-24.5844,75.3636
5,10.0981,-61.2864,5,-24.395,75.392
5.1,10.1854,-61.2817,5.1,-24.2051,75.4205
5.2,10.2726,-61.277,5.2,-24.0147,75.4491
5.3,10.3599,-61.2723,5.3,-23.8237,75.4777
5.4,10.4471,-61.2676,5.4,-23.6321,75.5063
5.5,10.5344,-61.263,5.5,-23.44,75.535
5.6,10.6216,-61.2583,5.6,-23.2473,75.5638
5.7,10.7089,-61.2536,5.7,-23.0541,75.5927
5.8,10.7961,-61.2489,5.8,-22.8603,75.6215
5.9,10.8832,-61.2443,5.9,-22.666,75.6505
6,10.9705,-61.2396,6,-22.4711,75.6795
6.1,11.0576,-61.2349,6.1,-22.2756,75.7085
6.2,11.1448,-61.2303,6.2,-22.0795,75.7376
6.3,11.232,-61.2256,6.3,-21.8828,75.7668
6.4,11.3191,-61.221,6.4,-21.6855,75.796
6.5,11.4062,-61.2163,6.5,-21.4877,75.8252
6.6,11.4934,-61.2117,6.6,-21.2892,75.8545
6.7,11.5805,-61.207,6.7,-21.0902,75.8839
6.8,11.6676,-61.2024,6.8,-20.8905,75.9133
6.9,11.7547,-61.1977,6.9,-20.6902,75.9427
7,11.8418,-61.1931,7,-20.4893,75.9722
7.1,11.9289,-61.1884,7.1,-20.2878,76.0017
7.2,12.016,-61.1838,7.2,-20.0857,76.0313
7.3,12.103,-61.1791,7.3,-19.883,76.0609
7.4,12.1901,-61.1745,7.4,-19.6796,76.0906
7.5,12.2772,-61.1698,7.5,-19.4756,76.1203
7.6,12.3642,-61.1652,7.6,-19.2709,76.15
7.7,12.4512,-61.1606,7.7,-19.0656,76.1798
7.8,12.5383,-61.1559,7.8,-18.8596,76.2096
7.9,12.6253,-61.1513,7.9,-18.653,76.2395
8,12.7123,-61.1466,8,-18.4457,76.2694
8.1,12.7993,-61.142,8.1,-18.2378,76.2993
8.2,12.8863,-61.1374,8.2,-18.0292,76.3293
8.3,12.9733,-61.1327,8.3,-17.8199,76.3593
8.4,13.0603,-61.128,8.4,-17.6099,76.3893
8.5,13.1473,-61.1234,8.5,-17.3993,76.4193
8.6,13.2343,-61.1188,8.6,-17.1879,76.4494
8.7,13.3212,-61.1141,8.7,-16.9759,76.4795
8.8,13.4082,-61.1095,8.8,-16.7631,76.5097
8.9,13.4951,-61.1048,8.9,-16.5497,76.5399
9,13.5821,-61.1001,9,-16.3356,76.5701
9.1,13.669,-61.0955,9.1,-16.1207,76.6003
9.2,13.756,-61.0908,9.2,-15.9051,76.6305
9.3,13.8429,-61.0862,9.3,-15.6888,76.6608
9.4,13.9298,-61.0815,9.4,-15.4718,76.6911
9.5,14.0167,-61.0768,9.5,-15.254,76.7214
9.6,14.1036,-61.0722,9.6,-15.0355,76.7517
9.7,14.1906,-61.0675,9.7,-14.8162,76.7821
9.8,14.2775,-61.0628,9.8,-14.5962,76.8124
9.9,14.3644,-61.0581,9.9,-14.3755,76.8428
10,14.4513,-61.0535,10,-14.1539,76.8732
10.1,14.5381,-61.0488,10.1,-13.9316,76.9036
10.2,14.6251,-61.0441,10.2,-13.7086,76.934
10.3,14.7119,-61.0394,10.3,-13.4847,76.9645
10.4,14.7988,-61.0347,10.4,-13.2601,76.9949
10.5,14.8857,-61.03,10.5,-13.0347,77.0253
10.6,14.9726,-61.0253,10.6,-12.8084,77.0558
10.7,15.0594,-61.0206,10.7,-12.5814,77.0862
10.8,15.1463,-61.0159,10.8,-12.3536,77.1167
10.9,15.2332,-61.0111,10.9,-12.125,77.1471
11,15.32,-61.0064,11,-11.8955,77.1776
11.1,15.4069,-61.0017,11.1,-11.6652,77.2081
11.2,15.4937,-60.9969,11.2,-11.4341,77.2385
11.3,15.5806,-60.9922,11.3,-11.2022,77.269
11.4,15.6674,-60.9874,11.4,-10.9694,77.2994
11.5,15.7543,-60.9827,11.5,-10.7358,77.3299
11.6,15.8411,-60.9779,11.6,-10.5013,77.3603
11.7,15.928,-60.9732,11.7,-10.266,77.3908
11.8,16.0148,-60.9684,11.8,-10.0297,77.4212
11.9,16.1017,-60.9636,11.9,-9.79268,77.4516
12,16.1885,-60.9588,12,-9.55472,77.482
12.1,16.2753,-60.954,12.1,-9.31589,77.5123
12.2,16.3622,-60.9492,12.2,-9.07617,77.5427
12.3,16.449,-60.9444,12.3,-8.83555,77.573
12.4,16.5358,-60.9396,12.4,-8.59404,77.6034
12.5,16.6227,-60.9348,12.5,-8.35161,77.6337
12.6,16.7095,-60.93,12.6,-8.10828,77.6639
12.7,16.7963,-60.9251,12.7,-7.86402,77.6942
12.8,16.8831,-60.9203,12.8,-7.61885,77.7244
12.9,16.97,-60.9154,12.9,-7.37274,77.7546
13,17.0568,-60.9105,13,-7.1257,77.7848
13.1,17.1436,-60.9057,13.1,-6.87772,77.8149
13.2,17.2304,-60.9008,13.2,-6.62878,77.845
13.3,17.3173,-60.8959,13.3,-6.3789,77.8751
13.4,17.4041,-60.891,13.4,-6.12805,77.9051
13.5,17.4909,-60.8861,13.5,-5.87624,77.9351
13.6,17.5778,-60.8812,13.6,-5.62346,77.9651
13.7,17.6646,-60.8763,13.7,-5.3697,77.995
13.8,17.7514,-60.8713,13.8,-5.11496,78.0248
13.9,17.8383,-60.8664,13.9,-4.85923,78.0547
14,17.9251,-60.8614,14,-4.6025,78.0844
14.1,18.0119,-60.8565,14.1,-4.34477,78.1142
14.2,18.0988,-60.8515,14.2,-4.08604,78.1438
14.3,18.1856,-60.8465,14.3,-3.8263,78.1735
14.4,18.2724,-60.8415,14.4,-3.56553,78.203
14.5,18.3593,-60.8365,14.5,-3.30374,78.2325
14.6,18.4461,-60.8315,14.6,-3.04092,78.262
14.7,18.533,-60.8264,14.7,-2.77706,78.2914
14.8,18.6198,-60.8214,14.8,-2.51217,78.3207
14.9,18.7066,-60.8164,14.9,-2.24623,78.35
15,18.7935,-60.8113,15,-1.97924,78.3792
15.1,18.8803,-60.8062,15.1,-1.71118,78.4083
15.2,18.9672,-60.8011,15.2,-1.44207,78.4374
15.3,19.054,-60.796,15.3,-1.17189,78.4663
15.4,19.1409,-60.7909,15.4,-0.900632,78.4953
