,Lon_N,Lat_N,Lon_S,Lat_S
0,146.134,70.6305,305.673,-78.2114
1,146.136,70.6579,305.574,-78.2246
2,146.137,70.6853,305.474,-78.2378
3,146.139,70.7126,305.375,-78.2511
4,146.141,70.7399,305.275,-78.2643
5,146.143,70.767,305.176,-78.2775
6,146.144,70.7942,305.076,-78.2908
7,146.146,70.8213,304.976,-78.304
8,146.148,70.8483,304.876,-78.3173
9,146.15,70.8753,304.776,-78.3305
10,146.153,70.9022,304.675,-78.3438
11,146.155,70.929,304.575,-78.3571
12,146.157,70.9558,304.475,-78.3704
13,146.159,70.9826,304.374,-78.3837
14,146.162,71.0092,304.273,-78.3969
15,146.164,71.0359,304.173,-78.4102
16,146.166,71.0624,304.072,-78.4235
17,146.169,71.089,303.971,-78.4369
18,146.171,71.1154,303.87,-78.4502
19,146.174,71.1418,303.768,-78.4635
20,146.177,71.1682,303.667,-78.4768
21,146.179,71.1945,303.566,-78.4902
22,146.182,71.2207,303.464,-78.5035
23,146.185,71.2469,303.363,-78.5168
24,146.188,71.273,303.261,-78.5302
25,146.19,71.2991,303.159,-78.5435
26,146.193,71.3251,303.057,-78.5569
27,146.196,71.3511,302.955,-78.5703
28,146.199,71.377,302.853,-78.5837
29,146.202,71.4028,302.751,-78.597
30,146.205,71.4286,302.649,-78.6104
31,146.209,71.4544,302.546,-78.6238
32,146.212,71.48,302.444,-78.6372
33,146.215,71.5057,302.341,-78.6506
34,146.218,71.5312,302.238,-78.664
35,146.221,71.5568,302.135,-78.6774
36,146.225,71.5822,302.032,-78.6909
37,146.228,71.6076,301.929,-78.7043
38,146.231,71.633,301.826,-78.7177
39,146.235,71.6583,301.722,-78.7312
40,146.238,71.6835,301.619,-78.7446
41,146.242,71.7087,301.516,-78.758
42,146.245,71.7338,301.412,-78.7715
43,146.248,71.7589,301.308,-78.785
44,146.252,71.784,301.204,-78.7984
45,146.255,71.8089,301.1,-78.8119
46,146.259,71.8339,300.996,-78.8254
47,146.263,71.8587,300.892,-78.8388
48,146.266,71.8835,300.787,-78.8523
49,146.27,71.9083,300.683,-78.8658
50,146.273,71.933,300.578,-78.8793
51,146.277,71.9577,300.474,-78.8928
52,146.281,71.9823,300.369,-78.9063
53,146.285,72.0068,300.264,-78.9198
54,146.288,72.0313,300.159,-78.9333
55,146.292,72.0557,300.054,-78.9469
56,146.296,72.0801,299.949,-78.9604
57,146.299,72.1045,299.843,-78.9739
58,146.303,72.1287,299.738,-78.9874
59,146.307,72.153,299.632,-79.001
60,146.311,72.1772,299.526,-79.0145
61,146.315,72.2013,299.42,-79.0281
62,146.318,72.2254,299.315,-79.0416
63,146.322,72.2494,299.208,-79.0552
