,Lon_N,Lat_N,Lon_S,Lat_S
0,142.346,69.6448,302.503,-77.1898
1,142.342,69.6759,302.403,-77.2042
2,142.338,69.7069,302.304,-77.2185
3,142.334,69.7379,302.204,-77.2329
4,142.33,69.7688,302.104,-77.2473
5,142.327,69.7997,302.004,-77.2617
6,142.323,69.8305,301.904,-77.276
7,142.319,69.8613,301.804,-77.2905
8,142.316,69.892,301.704,-77.3049
9,142.313,69.9227,301.604,-77.3193
10,142.309,69.9533,301.504,-77.3337
11,142.306,69.9838,301.404,-77.3482
12,142.303,70.0143,301.303,-77.3627
13,142.3,70.0448,301.203,-77.3771
14,142.297,70.0751,301.102,-77.3916
15,142.294,70.1055,301.001,-77.4061
16,142.292,70.1357,300.901,-77.4206
17,142.289,70.166,300.8,-77.4352
18,142.286,70.1961,300.699,-77.4497
19,142.284,70.2262,300.598,-77.4642
20,142.281,70.2563,300.497,-77.4788
21,142.279,70.2863,300.396,-77.4933
22,142.277,70.3163,300.295,-77.5079
23,142.275,70.3462,300.193,-77.5225
24,142.273,70.376,300.092,-77.5371
25,142.271,70.4058,299.991,-77.5517
26,142.269,70.4355,299.889,-77.5663
27,142.267,70.4652,299.788,-77.5809
28,142.265,70.4948,299.686,-77.5956
29,142.263,70.5243,299.584,-77.6102
30,142.262,70.5538,299.482,-77.6249
31,142.26,70.5833,299.38,-77.6395
32,142.259,70.6127,299.278,-77.6542
33,142.257,70.642,299.176,-77.6689
34,142.256,70.6713,299.074,-77.6836
35,142.255,70.7005,298.972,-77.6983
36,142.253,70.7297,298.869,-77.713
37,142.252,70.7588,298.767,-77.7278
38,142.251,70.7878,298.664,-77.7425
39,142.25,70.8168,298.562,-77.7573
40,142.249,70.8458,298.459,-77.772
41,142.248,70.8747,298.356,-77.7868
42,142.247,70.9035,298.253,-77.8016
43,142.247,70.9323,298.15,-77.8163
44,142.246,70.961,298.047,-77.8311
45,142.245,70.9896,297.944,-77.8459
46,142.245,71.0182,297.841,-77.8608
47,142.244,71.0468,297.738,-77.8756
48,142.244,71.0753,297.634,-77.8904
49,142.243,71.1037,297.531,-77.9053
50,142.243,71.1321,297.427,-77.9201
51,142.243,71.1604,297.323,-77.935
52,142.242,71.1887,297.22,-77.9498
53,142.242,71.2169,297.116,-77.9647
54,142.242,71.2451,297.012,-77.9796
55,142.242,71.2732,296.908,-77.9945
56,142.242,71.3012,296.804,-78.0094
57,142.242,71.3292,296.699,-78.0243
58,142.242,71.3571,296.595,-78.0392
59,142.242,71.385,296.491,-78.0542
60,142.242,71.4128,296.386,-78.0691
61,142.242,71.4406,296.281,-78.084
62,142.242,71.4683,296.177,-78.099
63,142.243,71.4959,296.072,-78.114
64,142.243,71.5236,295.967,-78.1289
65,142.243,71.5511,295.862,-78.1439
66,142.244,71.5786,295.757,-78.1589
67,142.244,71.606,295.652,-78.1739
68,142.244,71.6334,295.546,-78.1889
69,142.245,71.6607,295.441,-78.2039
70,142.245,71.688,295.336,-78.2189
71,142.246,71.7152,295.23,-78.2339
72,142.246,71.7423,295.124,-78.249
73,142.247,71.7694,295.019,-78.264
